ID,Label,Gloss
B1,a,seruan perasaan kurang sabar dan juga perasaan menghina; ah.
B2,aba,seruan: ah! oh! pangabaabaon: lekas berkembang dan tumbuh dan lekas pula layu;contoh eme: sering berubah-ubah pikirannya mengenai orang
B3,abad,abad
B4,abak,pangabahan: hal mengenai berhasilnya; menjadinya.
B5,abal,abalan: tempat; tabung untuk menyimpan segala sesuatu; tempat bertemu beramai-ramai; contoh huta
B6,abal;abal – abal,peti mati orang tua berumur panjang
B7,abal-abal,tabung bambu
B8,abalan ni partigatiga,tempat para pedagang saling bertemu;abalabal: tabung kecil dari bambu untuk menyimpan segala sesuatu;mangabalabalhon: memasukkan sesuatu ke dalam tabung seperti itu.
B9,abang,pangabang: nama tempat dalam sopo batak; yang terletak disebelah kanan dan kiri jalan masuk.
B10,abangabang,sejenis pohon kayu
B11,abap,abu halus; yang tinggal sesudah kayu bakar habis terbakar
B12,abar,mengembara; contoh: di dalam hutan untuk mengambil kapur barus; begu abar = begu na masa; hantu yang menyebabkan epidemi.
B13,abara,bahu; pundak; mangabara: memaafkan (=mangampini); sebenarnya: membawa di atas pundak; pangabaraan: 1. (bagian) kayu pikulan 2. buah pisang yang paling atas pada tandan dan yang terbesar
B14,abara (pundak),parsitangkingan
B15,abas,mangabas: mengibas; melambai; mangabashon: mengibas; melambaikan contoh dengan ekor atau ulos; mate uluna; mangabasi ihurna: kepalanya sudah mati; ekornya masih mengibas-ngibas (seperti dengan ular); dikatakan tentang suatu perkara; yang sebenarnya sudah diselesaikan; tetapi akibatnya masih terasa
B16,abat,(= sabat): halangan; aral; rintangan; adong abathu: saya berhalangan; ada halanganku; mangabati: menghalangi; menghambat; pangabati: segala sesuatu yang menghalangi; penghalangi; penghambat.
B17,abe,mabeabe: bertiup kesana kesini
B18,abing,mangabing: memangku; melarikan perempuan dengan kekerasan; abingan: pangkuan; sebenarnya: tempat dimana membawa anak kecil (= ampuan)
B19,abis,i. mangabis: duduk di bagian depan perahu (solu) sewaktu berlayar dimana raja mengambil tempat. ii. pangabis: hubungan kekerabatan yaitu nenek laki-laki dari tulang; pangabis; juga: jatah daging (jambar) yang diperuntukkan untuk dia
B20,abis; habis,habis
B21,abit,kain; pakaian; marabit: berpakaian; marabithon: dikenakan pakaian; parabiton: sandang; hal mengenai pakaian; na niabitan: yang ditutup orang: kemaluan; abit ni hata: kata-kata hormat atau penghalus kata-kata karena dirasa kurang sopan kalau terus-terang; parabitan; pinggul pada mana pakaian dapat diikat.
B22,abor,abor: tanda larangan untuk lewat berupa sepotong kayu atau tolong (gelagah); agar orang tidak pergi kesana; mangabor: melarang masuk; memasang abor di jalan; abor ni hata: ucapan atau larangan halus; peringatan halus.
B23,abot,abot; = abat.
B24,abu,abu; sebutan yang kurang sopan untuk isteri; perempuan.
B25,abuan,abuan; kulit jagung atau padi (angk)
B26,abuk,desak; diabuk: didesak; mangabuk: mendesak; mabuk; pangabuk. Unang sai abuk ibana: Jangan desak terus dia
B27,abuk; mabuk,buru-buru; mabok
B28,abul,abul; balas; balasan; mangabul: membalas; menuntut pembalasan; parsinabul: sijalahi abul; pembalas; yang menuntut pembalasan; abul ni: sebagai balas untuk; untuk membalas contoh mata do abul ni mata; mata dibalas dengan mata.
B29,abur,abur: (kata dasar seperti sabur ?); maraburabur: (mengenai air mata) banyak bercucuran; mangaburhon: melemparkan sesuatu; berlengkung; menghamburkan.
B30,abur; sabur,terlepas berserakan
B31,abut ,abut = habut; keruh
B32,ada,ada = adong; tersedia; ada (hanya dalam bentuk ingkar); soada: tidak ada; lih. so i
B33,adam,adam: ajal; akhir hidup.
B34,adang,adang; madangadang; keluyuran; berkeliling-keliling; mengembara; bertualang (= medangedang); mangadang; mengintip; menghadang; menantikan; mangadangi; mengunjungi satu demi satu contoh angka huta; paradang-adang; pengembara; pengelana; paradangadangan; pengembaraan;pelancongan; niadang ni roha; tujuan; maksud yang tersirat; na niadang ni hata; cakupan pembicaraan; mangadangadang-hon; mengelilingkan (contoh barang dagangan) kesetiap pedagang atau setiap rumah. adang; taradang; tersangka; dicurigai
B35,adap,adap: mangadap ari; lih mangalap ari
B36,adar,adar = andar: kelihat:atan dari kejauhan; tampak jelas; adaran: pelataran; dataran; mangadar: bertempur di pelataran tanpa perlindungan; mangadar hatana: berbicara terus terang tanpa tedeng aling-aling.
B37,adar; adaran,padang rumput
B38,adari,sehari
B39,adas,adas: i. mantra yang diucapkan oleh datu; manadas: mencoba semua kemungkinan tetapi tanpa hasil (dikatakan mengenai datu). ii. sej rempah
B40,adat,adat: adat istiadat; kebiasaan; na so umboto adat: orang yang tidak mengetahui tatakrama adat; tidak tahu sopan santun; yang tidak mengetahui etiket (= ndang maradat).
B41,ade,ade = rade: (mengenai senjata): telah berisi dan siap untuk ditembakkan.
B42,adeade,adeade: cacing pita.
